patient_id,split,seconds,dice_rv,dice_myo,dice_lv,mean_dice,gate_pass,dist_rv_mm,dist_myo_mm,dist_lv_mm,frac_nonpositive_jac,warped_intensity_residual
patient029,training,11.7,0.6261922785768357,0.5960484808235099,0.8136645962732919,0.6786351185578791,False,1.9189793476297354,1.9104132058483225,0.6313763654483708,0.0,0.5647968649864197
patient030,training,11.6,0.2897260273972603,0.6489232019504266,0.8469259723964868,0.5951917339147246,False,4.236973132871604,1.231224527701775,0.3182861617902043,0.0,0.481940895318985
patient031,training,11.7,0.5676360924683073,0.6008403361344538,0.8837928368977068,0.6840897551668226,False,2.3984631663422533,2.091905344498733,0.39124165443468195,0.0,0.6028956770896912
patient032,training,12.6,0.3873640600725013,0.5304393859184754,0.8435544430538173,0.5871192963482647,False,5.208997223535903,2.7421882631839773,0.6150241700203449,0.0,0.6822578310966492
patient033,training,10.9,0.5209003215434084,0.6297412449340123,0.9148665819567979,0.6885027161447396,False,2.687527998301147,1.5126412241948533,0.1460045234605565,0.0,0.5881887078285217
patient034,training,11.1,0.42272727272727273,0.6110429447852761,0.8403790087463557,0.6247164087529682,False,3.2072130209247165,1.7836269266990452,0.3848560471274526,0.0,0.6879576444625854
patient035,training,9.8,0.5631290610268824,0.5926086016857575,0.8973684210526316,0.6843686945884239,False,2.3844137585022533,1.6505476762146665,0.21599442879923164,0.0,0.555320680141449
patient036,training,10.1,0.6300291545189505,0.6412560481880123,0.8996071584460934,0.7236307870510187,False,1.6556226348672063,1.2337266472994786,0.2991697202004717,0.0,0.42537423968315125
patient037,training,9.9,0.6973389704053718,0.6811003565970454,0.8767274737423991,0.7517222669149387,False,1.4248167648140164,1.0686070250537916,0.27437825359304246,0.0,0.5266689658164978
patient038,training,10.1,0.7808413423664724,0.7888502983346691,0.9400514895182053,0.8365810434064489,True,0.806124749629721,0.5178989558879686,0.10637118605439601,0.0,0.4173687994480133
patient039,training,10.6,0.5262622408749841,0.589021113243762,0.91033726350425,0.6752068725409988,False,2.5008553380521943,1.6654073106658014,0.17265482559676804,0.0,0.7129327654838562
patient040,training,10.7,0.6139741630782053,0.7730378960447297,0.9399634126060203,0.7756584905763185,False,2.1913264316807384,0.7164163737624416,0.10204958930318192,0.0,0.4203057885169983
patient041,training,9.7,0.6466938486084027,0.7619047619047619,0.9404805914972274,0.7830264006701307,False,1.7774476281981515,0.5950579275325718,0.1103504450122563,0.0,0.42010340094566345
patient042,training,10.5,0.5635571761369391,0.7532148260211801,0.9307699091630656,0.7491806371070616,False,3.0149449817620675,0.5959466194486435,0.21269011851848166,0.0,0.36074158549308777
patient043,training,10.2,0.6205738278516445,0.7367878319154422,0.9508836355290338,0.7694150984320401,False,2.282887508605783,0.6354260301656691,0.09097944973402705,0.0,0.3400394320487976
